id,nama,created_at,updated_at
7101,KAB. BOLAANG MONGONDOW,2023-10-22 15:43:35,2023-10-22 15:43:35
7102,KAB. MINAHASA,2023-10-22 15:43:35,2023-10-22 15:43:35
7103,KAB. KEPULAUAN SANGIHE,2023-10-22 15:43:35,2023-10-22 15:43:35
7104,KAB. KEPULAUAN TALAUD,2023-10-22 15:43:35,2023-10-22 15:43:35
7105,KAB. MINAHASA SELATAN,2023-10-22 15:43:35,2023-10-22 15:43:35
7106,KAB. MINAHASA UTARA,2023-10-22 15:43:35,2023-10-22 15:43:35
7107,KAB. MINAHASA TENGGARA,2023-10-22 15:43:35,2023-10-22 15:43:35
7108,KAB. BOLAANG MONGONDOW UTARA,2023-10-22 15:43:35,2023-10-22 15:43:35
7109,KAB. KEP. SIAU TAGULANDANG BIARO,2023-10-22 15:43:35,2023-10-22 15:43:35
7110,KAB. BOLAANG MONGONDOW TIMUR,2023-10-22 15:43:35,2023-10-22 15:43:35
7111,KAB. BOLAANG MONGONDOW SELATAN,2023-10-22 15:43:35,2023-10-22 15:43:35
7171,KOTA MANADO,2023-10-22 15:43:35,2023-10-22 15:43:35
7172,KOTA BITUNG,2023-10-22 15:43:35,2023-10-22 15:43:35
7173,KOTA TOMOHON,2023-10-22 15:43:35,2023-10-22 15:43:35
7174,KOTA KOTAMOBAGU,2023-10-22 15:43:35,2023-10-22 15:43:35
